City,Province,Year,Month,Weather_Variable,Pollutant,Correlation
ST. LEONARD,NEW BRUNSWICK,2015,4,Mean Temp (°C),CO,
ST. LEONARD,NEW BRUNSWICK,2015,4,Mean Temp (°C),O3,0.3324321202585424
ST. LEONARD,NEW BRUNSWICK,2015,4,Mean Temp (°C),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Rain (mm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Rain (mm),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Rain (mm),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Rain (mm),CO,
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Rain (mm),O3,-0.07368714658169306
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Rain (mm),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Snow (cm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Snow (cm),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Snow (cm),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Snow (cm),CO,
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Snow (cm),O3,-0.23369630216425422
ST. LEONARD,NEW BRUNSWICK,2015,4,Total Snow (cm),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,4,Spd of Max Gust (km/h),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,4,Spd of Max Gust (km/h),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,4,Spd of Max Gust (km/h),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,4,Spd of Max Gust (km/h),CO,
ST. LEONARD,NEW BRUNSWICK,2015,4,Spd of Max Gust (km/h),O3,
ST. LEONARD,NEW BRUNSWICK,2015,4,Spd of Max Gust (km/h),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,5,Mean Temp (°C),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,5,Mean Temp (°C),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,5,Mean Temp (°C),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,5,Mean Temp (°C),CO,
ST. LEONARD,NEW BRUNSWICK,2015,5,Mean Temp (°C),O3,-0.02974044874523807
ST. LEONARD,NEW BRUNSWICK,2015,5,Mean Temp (°C),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Rain (mm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Rain (mm),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Rain (mm),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Rain (mm),CO,
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Rain (mm),O3,0.06992658782498873
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Rain (mm),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Snow (cm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Snow (cm),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Snow (cm),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Snow (cm),CO,
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Snow (cm),O3,-0.11616338002079751
ST. LEONARD,NEW BRUNSWICK,2015,5,Total Snow (cm),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,5,Spd of Max Gust (km/h),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,5,Spd of Max Gust (km/h),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,5,Spd of Max Gust (km/h),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,5,Spd of Max Gust (km/h),CO,
ST. LEONARD,NEW BRUNSWICK,2015,5,Spd of Max Gust (km/h),O3,
ST. LEONARD,NEW BRUNSWICK,2015,5,Spd of Max Gust (km/h),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,6,Mean Temp (°C),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,6,Mean Temp (°C),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,6,Mean Temp (°C),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,6,Mean Temp (°C),CO,
ST. LEONARD,NEW BRUNSWICK,2015,6,Mean Temp (°C),O3,-0.5032376752258522
ST. LEONARD,NEW BRUNSWICK,2015,6,Mean Temp (°C),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,6,Total Rain (mm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,6,Total Rain (mm),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,6,Total Rain (mm),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,6,Total Rain (mm),CO,
ST. LEONARD,NEW BRUNSWICK,2015,6,Total Rain (mm),O3,-0.34099211332711116
ST. LEONARD,NEW BRUNSWICK,2015,6,Total Rain (mm),SO2,
