Climate ID,Year,Month,YearMonth,MeanMonthlyTemp_C
8100300,2009,3,2009-03,-4.083870967741936
8100300,2009,4,2009-04,5.2
8100300,2009,5,2009-05,10.63225806451613
8100300,2009,6,2009-06,16.083333333333332
8100300,2009,7,2009-07,18.312903225806455
8100300,2009,8,2009-08,20.557692307692307
8100300,2009,9,2009-09,13.020689655172415
8100300,2009,10,2009-10,4.864516129032259
8100300,2009,11,2009-11,3.4266666666666667
8100300,2009,12,2009-12,-6.109677419354839
8100300,2010,1,2010-01,-6.45483870967742
8100300,2010,2,2010-02,-3.85
8100300,2010,3,2010-03,0.6258064516129032
8100300,2010,4,2010-04,7.1
8100300,2010,5,2010-05,13.261290322580646
8100300,2010,6,2010-06,15.846666666666668
8100300,2010,7,2010-07,20.31111111111111
8100300,2010,8,2010-08,19.331818181818182
8100300,2010,9,2010-09,14.620000000000001
8100300,2010,10,2010-10,7.225806451612903
8100300,2010,11,2010-11,0.8433333333333334
8100300,2010,12,2010-12,-3.764516129032258
8100300,2011,1,2011-01,-10.070967741935483
8100300,2011,2,2011-02,-10.853571428571428
8100300,2011,3,2011-03,-3.3419354838709676
8100300,2011,4,2011-04,3.04
8100300,2011,5,2011-05,11.293548387096775
8100300,2011,6,2011-06,15.680000000000001
8100300,2011,7,2011-07,19.700000000000003
8100300,2011,8,2011-08,18.596774193548388
8100300,2011,9,2011-09,14.796153846153846
8100300,2011,10,2011-10,8.851851851851851
8100300,2011,11,2011-11,4.664
8100300,2011,12,2011-12,-4.451612903225806
8100300,2012,1,2012-01,-9.519354838709678
8100300,2012,2,2012-02,-8.5
8100300,2012,3,2012-03,-0.12580645161290324
8100300,2012,4,2012-04,5.473333333333333
8100300,2012,5,2012-05,11.703225806451613
8100300,2012,6,2012-06,15.73703703703704
8100300,2012,7,2012-07,19.673076923076923
8100300,2012,8,2012-08,20.08709677419355
8100300,2012,9,2012-09,14.05
8100300,2012,10,2012-10,8.46774193548387
8100300,2012,11,2012-11,0.3233333333333333
8100300,2012,12,2012-12,-4.5
8100300,2013,1,2013-01,-11.223333333333333
8100300,2013,2,2013-02,-7.828571428571428
8100300,2013,3,2013-03,-0.9193548387096774
8100300,2013,4,2013-04,3.8866666666666663
8100300,2013,5,2013-05,11.864516129032259
8100300,2013,6,2013-06,14.521428571428572
8100300,2013,7,2013-07,19.490322580645163
8100300,2013,8,2013-08,16.97826086956522
8100300,2013,9,2013-09,13.544827586206896
8100300,2013,10,2013-10,7.906451612903226
8100300,2013,11,2013-11,-0.34333333333333343
8100300,2013,12,2013-12,-9.446666666666665
8100300,2014,1,2014-01,-11.080645161290322
8100300,2014,2,2014-02,-11.149999999999999
8100300,2014,3,2014-03,-9.425806451612903
8100300,2014,4,2014-04,3.6
8100300,2014,5,2014-05,11.429411764705883
8100300,2014,6,2014-06,16.938888888888886
8100300,2014,7,2014-07,20.32903225806452
8100300,2014,8,2014-08,18.85
8100300,2014,9,2014-09,13.706666666666667
8100300,2014,10,2014-10,8.288
8100300,2014,11,2014-11,-1.0
8100300,2014,12,2014-12,-5.207999999999999
8100300,2015,1,2015-01,-15.804347826086957
8100300,2015,2,2015-02,-17.92142857142857
8100300,2015,3,2015-03,-7.633333333333333
8100300,2015,4,2015-04,2.5166666666666666
8100300,2015,5,2015-05,12.713333333333335
8100300,2015,6,2015-06,13.985185185185186
